school_id,name_en,name_local,city,region,school_type,curriculum,languages_of_instruction,ownership,priority_tier,affordability_signal,upper_secondary_pathway,program_fit_tags,recruitment_status,website_url,contact_email,contact_phone,notes_short,sources,last_verified
sch-ro-bucharest-isb,International School of Bucharest,,Bucharest,Bucharest,international,IGCSE|IB DP,English,private,A,Not published (premium),IGCSE to IB DP,medicine|business|cs-data-ai,ready,https://isb.ro,admissions@isb.ro,,700+ students; English-medium IB DP with published admissions contact. British-style pathway (IGCSE -> IB DP); address Șoseaua Gării Cățelu nr. 1R; phone +40 213 069 530; source: contact page 2025-12-20 Contact: Admissions Office (published contact).,https://isb.ro|reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-bucharest-lycee-francais,Lycée Français Anna de Noailles,Lycée Français Anna de Noailles,Bucharest,Bucharest,international,French lycée,French|English,international-network,A,"€10,150–€11,290 (2025–2026)",French Baccalauréat,medicine|business|cs-data-ai,ready,https://lyceefrancais.ro,secretariat.accueil@lyceefrancais.ro,+40 21 212 5893,AEFE lycée with Terminale delivery; high outbound orientation. AEFE French lycée in Sector 1 with full maternelle–terminale pathway and high outbound orientation,https://lyceefrancais.ro/pdf/frais/rf2025-2026.pdf|reports/20251220-Romania High-School Feeder Map.md|https://lyceefrancais.ro/french-school/contact-en/,2025-12-21
sch-ro-bucharest-maarif,Maarif International School of Bucharest (candidate),,Voluntari (Bucharest metro),Ilfov/Bucharest,candidate,Candidate international (licensing pending),English,foundation,A,Not published (candidate; verify),Upper secondary pending confirmation,medicine|business|cs-data-ai,verify_pathway,https://maarif.ro/contact,maarif.foundation@maarif.ro,,"Candidate campus; confirm liceu authorization, curriculum, and fees. Tier A candidate in high-potential feeder map; verify liceu authorization and curriculum, fees not published; operator contact from maarif.ro/contact.",reports/20251220-Romania High-School Feeder Map.md|https://maarif.ro/contact,2025-12-21
sch-ro-bucharest-mtis,Mark Twain International School,,Voluntari (Bucharest metro),Ilfov/Bucharest,international,IB continuum|Cambridge accredited,English|Romanian,private,A,"83,985–94,165 RON (Grades 9–12, 2025–2026)",IB DP (confirm AS/A Level use),medicine|business|cs-data-ai,ready,https://marktwainschool.ro,admissions@marktwainschool.ro,,"Premium-fee IB continuum provider; confirm DP subject grid and counselor contact. IB continuum (PYP/MYP/DP) with Cambridge accreditation; bilingual EN/RO. Premium liceu fees 83,985–94,165 RON (Grades 9–12, 2025–2026). Main switchboard +40 724 000 900; confirm counselor contact, DP subject grid, and upper-secondary campus. Contact: Admissions office.",https://marktwainschool.ro|reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-bucharest-seb,European School of Bucharest,,Bucharest,Bucharest,private,Romanian liceu|IB DP,English|Romanian,private,A,"€14,200 (liceu) / €18,800 (IB DP) 2025–2026",IB DP,medicine|business|cs-data-ai,ready,https://scoalaeuropeana.ro/admitere-si-taxe-3/taxe/,liceu@scoalaeuropeana.ro,,"Premium bilingual liceu with IB-priced DP track; counselor contact published. IB DP track (XI–XII); €14,200 liceu / €18,800 IB DP published for 2025–2026; campus: B-dul Expoziției 24D; phone +40 31 438 12 12 / +40 720 068 490; source: SEB fee schedule + contact page Contact: Liceu office.",https://scoalaeuropeana.ro/admitere-si-taxe-3/taxe/|reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-bucharest-verita,Verita International School,,Bucharest,Bucharest,international,IB DP|IGCSE,English,private,A,"71,006 RON (Grades 11–12, 2025–2026)",IB DP,medicine|business|cs-data-ai,ready,https://veritaschool.ro/tuition-and-fees/,admissions@verita.ro,,"IB World School with premium DP fees; CIS/COBIS accredited. IB World School (IB DP) with Edexcel IGCSE; CIS/COBIS accredited; premium fee signal (71,006 RON Grades 11–12, 2025–2026); Tier A target; school@verita.ro as backup contact. Contact: Admissions Office.",https://veritaschool.ro/tuition-and-fees/|reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-cluj-elf,ELF School,,Cluj-Napoca,Cluj,private-romanian,Romanian liceu,Romanian,private,B,"~28,600 RON/year (reported)",Romanian liceu,medicine|business|cs-data-ai,verify_fees,,,,"Fee-charging private liceu in Cluj premium segment; verify website and fees. Romanian liceu; Tier B affordability; fee signal ~28,600 RON/year (reported, verify); website unreachable 2025-12-20",reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-cluj-royal,The Royal School in Transylvania,,Cluj-Napoca,Cluj,international,Cambridge Upper Secondary|Cambridge Advanced,English,private,B,"Reported ~€12,330 (verify current schedule)",IGCSE + AS/A Levels,medicine|business|cs-data-ai,verify_fees,,,,Premium Cambridge pathway; confirm liceu authorization and counselor contact. Cambridge IGCSE/AS/A Level pipeline; priority tier B; reported ~€12,reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-cluj-spectrum,Spectrum International College (Cluj-Napoca),,Cluj-Napoca,Cluj,private-romanian,Romanian liceu with intensive English,Romanian|English,foundation,B,Fee-charging private liceu (verify 2025 schedule),Romanian liceu (Cambridge English prep),medicine|business|cs-data-ai,verify_fees,https://cluj.spectrum.ro/admitere/taxe,infocluj@spectrum.ro,,Lumina network liceu; confirm counselor contact and current fee table. Romanian liceu with math–informatics and filology tracks; intensive English with Cambridge exam prep; 2025 fee PDF referenced online—request current schedule.,https://cluj.spectrum.ro/admitere/taxe|reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-cluj-transylvania,Transylvania College,,Cluj-Napoca,Cluj,international,Cambridge IGCSE|AS|A Level; Romanian bilingual liceu,English|Romanian,private,B,Fees not published (request contract PDF),IGCSE + AS/A Levels,medicine|business|cs-data-ai,verify_fees,https://www.transylvania-college.ro/school-life/high-school/,admissions@transylvania-college.ro,,Hybrid international + bilingual liceu; request fees and counselor details. Cambridge IGCSE/AS/A Level line plus Romanian bilingual liceu; fees not published—request contract & fees PDF; reception +40 264 418 990 for routing Contact: Admissions Office.,https://www.transylvania-college.ro/school-life/high-school/|reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-constanta-cambridge,Cambridge School of Constanța (Educational Centre High School),,Constanța,Constanța,private-romanian,Cambridge IGCSE|Cambridge Advanced (verify onsite),Romanian|English,private,C,Fees on request (Cambridge private liceu),IGCSE + AS/A Levels (verify),medicine|business|cs-data-ai,verify_pathway,https://cambridgeconstanta.ro/contact/,office@cambridgeconstanta.ro,,Single-school city; confirm Years 12–13 delivery and fee band. Cambridge IGCSE private liceu; verify AS/A Level delivery and fee schedule; address Aleea Capidava nr. 3; office phone +40 241 647 745; role-based contact cambridgeofficer@cambridgeconstanta.ro for program details Contact: School office.,https://cambridgeconstanta.ro/contact/|reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-iasi-eviss,EVISS High School (Valea Adâncă),,Valea Adâncă (Iași metro),Iași,private-romanian,Romanian liceu,Romanian,private,B,"≈1,500 RON/month (2025–2026)",Romanian liceu,medicine|business|cs-data-ai,monitor,https://www.eviss.ro/,liceulteoreticeviss@yahoo.com,+40 (332) 407 520; +40 743 121 248,"Lower-fee private liceu; validate counselor lead and cohort size. Address: str. Principală nr. 62, Valea Adâncă, Iași County; private liceu with published contact email/phone—confirm counseling lead, cohort size, and fee schedule.",https://www.eviss.ro/|reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-iasi-spectrum,Spectrum International College (Iași),Liceul Teoretic Internațional Spectrum Iași,Iași,Iași,private-romanian,Romanian liceu|Cambridge English enrichment,Romanian|English,foundation,B,"€4,500/year (2025–2026)",Romanian liceu,medicine|business|cs-data-ai,ready,https://spectrumiasi.ro,pr@spectrum-iasi.ro|iasi@spectrum.ro,+40 232 210 278 (secretariat); +40 771 181 514 (PR),"Fee-charging liceu with international branding; contacts published. Fee-charging private liceu with international branding; liceu program 08:00–15:00; Spectrum English adds Cambridge session weekly; address Bulevardul C. A. Rosetti 12–14, Iași.",https://spectrumiasi.ro/taxe/|reports/20251220-Romania High-School Feeder Map.md|https://spectrumiasi.ro/contact/,2025-12-21
sch-ro-iasi-varlaam,Școala Varlaam Mitropolitul,Școala Varlaam Mitropolitul,Iași,Iași,faith,Romanian liceu,Romanian|English,faith,B,"22,200 RON/year (2025–2026)",Romanian liceu,medicine|business|cs-data-ai,ready,https://scoalavarlaam.ro/,secretariat@scoalavarlaam.ro,+40 721 982 573; +40 739 676 406,Fee-charging private liceu; counseling structure to confirm. Fee-charging private liceu; counseling contacts to be confirmed.,https://scoalavarlaam.ro/|reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-oradea-isor,International School of Oradea (ISOr),,Oradea,Bihor,international,Cambridge Lower Secondary|IGCSE; KS5 to confirm,English,international-network,C,"€9,985–€11,363 (KS4 2025/26) + €500 reg + €300 resource",IGCSE (KS5 pending confirmation),medicine|business|cs-data-ai,verify_pathway,https://isor.ro/secondary-school/,admissions@isor.ro,,"Published KS3/KS4 fees; confirm onsite A Level/KS5 delivery. British curriculum (Cambridge Lower Secondary + Cambridge IGCSE KS4); KS5 delivery to confirm; 2025/26 fees KS3 €9,332–10,620 and KS4 €9,985–11,363 plus €500 registration & €300 resource; day schedule 08:15–14:50; address Street Ceyrat 4C Oradea; phones +40 770 460 852 (secretariat) / +40 770 903 819 (admissions) Contact: Admissions team.",https://isor.ro/secondary-school/|reports/20251220-Romania High-School Feeder Map.md,2025-12-21
sch-ro-timisoara-bist,British International School of Timișoara,,Timișoara,Timiș,international,IGCSE|Cambridge KS5|IB DP,English|Romanian,private,A,"€13,140/year (Key Stage 5, 2025–2026)",IGCSE + IB DP + Cambridge KS5,medicine|business|cs-data-ai,ready,https://www.britishschool-timisoara.ro/,,,"Premium international pipeline in western Romania; IB DP authorized 2022. IB DP + Cambridge KS5; €13,140/year KS5 (2025–2026); verify counselor contacts and visit policy",https://www.britishschool-timisoara.ro/|reports/20251220-Romania High-School Feeder Map.md,2025-12-21
