month,theme,primary_channel,asset_type,owner,status,notes,as_of
2026-09,Back-to-school: Grade 12 roadmap to studying at UNIC,instagram,carousel,BG Content Lead,planned,Align to school start mid-Sep; CTA: register interest; Campus: both,2025-12-22
2026-09,Counselor email: book Oct-Nov school talks + resources,email,email,BG Admissions Team,planned,Audience: counselors; CTA: schedule visit; Campus: both,2025-12-22
2026-09,Campus tour: Athens vs Nicosia day-in-the-life,youtube,video,Campus Marketing (Athens),planned,Audience: early-funnel; CTA: virtual tour signup; Campus: both,2025-12-22
2026-10,Fall virtual open day: programs + scholarships + Q&A,events,webinar,BG Admissions Team,planned,Peak counselor season; CTA: apply early/conditional; Campus: both,2025-12-22
2026-10,Business/Finance/Marketing outcomes: internships and careers,instagram,video,Campus Marketing (Athens),planned,Audience: Business prospects; CTA: book advisor call; Campus: Athens,2025-12-22
2026-10,Agents: Q4 campaign kit + lead form links + SLA,agents,pdf,BG Partner/Agent Manager,planned,Audience: partner agents; Deliverable: creatives + UTMs; Campus: both,2025-12-22
2026-11,Mock Matura season: study plan + productivity tips,tiktok,video,BG Content Lead,planned,Audience: Grade 12; CTA: save checklist; Campus: both,2025-12-22
2026-11,Early application scholarship deadline reminder,email,email,BG Admissions Team,planned,Conversion push before winter break; CTA: complete application; Campus: both,2025-12-22
2026-11,Medicine/MD student journey: year-by-year pathway,youtube,video,Campus Marketing (Nicosia),planned,Audience: Medicine prospects; CTA: attend webinar; Campus: Nicosia,2025-12-22
2026-12,Student Day (8 Dec): alumni stories + campus life,instagram,video,Campus Marketing (Nicosia),planned,Audience: prospects; CTA: follow + inquiry; Campus: both,2025-12-22
2026-12,Year-end checklist: documents to collect over winter break,blog,blog,BG Admissions Team,planned,Audience: applicants; CTA: book January consult; Campus: both,2025-12-22
2026-12,Holiday virtual tour + live chat schedule,facebook,story,BG Performance Marketing,planned,Audience: prospects + parents; CTA: virtual tour; Campus: both,2025-12-22
