category,sub_category,period,amount_eur,assumptions,owner,notes,as_of
"travel","march_roadshow_travel_and_lodging","2026-03",9000,"Two-team roadshow wrapped around WEF; assumes 4 staff; transport between cities; hotels and per diem for 5-6 nights","Recruitment (Bulgaria)","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (March national roadshow and staffing); planning assumption","2025-12-22"
"events","counselor_and_parent_hospitality","2026-03",3000,"Counselor breakfast and coffees plus 2 parent info evenings; assumes modest venue and catering spend to support conversion in March","Recruitment (Bulgaria)","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (counselor breakfast; parent evenings after Sofia and Varna)","2025-12-22"
"events","autumn_fairs_fees","2026-Q4",6000,"Participation fees for autumn fair cycle (Darbi; EEF; UniExpo); confirm dates and packages from June onward","Events","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (autumn fairs noted; dates TBD); planning assumption","2025-12-22"
"travel","school_visits_and_autumn_fairs_travel","2026",9000,"School visits and counselor meetings across Sofia-Plovdiv-Varna-Burgas plus autumn fairs; assumes clustered travel to avoid exam blackouts","Recruitment (Bulgaria)","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (25-35 priority school visits; calendar windows); planning assumption","2025-12-22"
"events","collateral_printing_and_shipping","2026-Q1",2500,"Pre-ship Bulgarian collateral and maintain local print backup; includes roll-ups and one-pagers for recognition and scholarships","Recruitment (Bulgaria)","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (asset checklists; pre-ship collateral); planning assumption","2025-12-22"
"scholarships_discounts","non_med_merit_and_fee_credits_envelope","2026",90000,"Budget envelope for non-med merit tiers and fee credits; calibrated to conversion targets and award guardrails; not an actuals forecast","Finance + Admissions","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (Bulgaria scholarship budget €120k-130k; non-med merit tiers and early-bird credit)","2025-12-22"
"scholarships_discounts","medicine_merit_and_fee_credits_envelope","2026",35000,"Budget envelope for selective Medicine merit awards and early-decision fee credits; keep capped and profile-gated","Finance + Medical Admissions","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (Bulgaria scholarship budget €120k-130k; Medicine €3k awards; €1k early-decision credit)","2025-12-22"
"partners_agents","agent_commissions_budget_placeholder","2026",75000,"Commission budget placeholder tied to starts; assumes tiered SLAs and commissions calculated on gross tuition; adjust after agent mix is finalized","Partner Management + Finance","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (agent commissions tied to starts and capped by tiered SLAs); planning assumption","2025-12-22"
"partners_agents","agent_enablement_and_co_marketing","2026-Q1",8000,"Agent onboarding; training; compliance; co-marketing support for six core agents with monthly KPIs","Partner Management","Source: countries/bulgaria/reports/2025-12-20 - UNIC Athens Bulgaria Recruitment Plan.md (issue SLAs to six core agents); planning assumption","2025-12-22"
"other","contingency","2026",10000,"Planning contingency for Bulgaria cycle to cover pricing assets; unexpected travel; or incremental fair add-ons; deploy only with approval","Country Lead + Finance","Planning reserve; keep separate from paid media and scholarship envelopes","2025-12-22"
