school_id,name,city,region,type,ownership,contact_name,contact_email,notes,as_of
sch-bg-plovdiv-national-gymnasium-stage-screen-arts,Национална гимназия за сценични и екранни изкуства,Plovdiv,Plovdiv Province,gymnasium,public,,ngsei_plovdiv@abv.bg,Public national arts gymnasium; English readiness and placement data pending.,2025-12-21
sch-bg-plovdiv-national-art-school-tsanko-lavrenov,Национална художествена гимназия „Цанко Лавренов“,Plovdiv,Plovdiv Province,gymnasium,public,,info-2902402@edu.mon.bg,Public national fine arts gymnasium; validate international outcomes and English level.,2025-12-21
sch-bg-plovdiv-french-language-gymnasium-exupery,Френска езикова гимназия „Антоан дьо Сент-Екзюпери“,Plovdiv,Plovdiv Province,gymnasium,public,,lycee@feg-exupery.com,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-plovdiv-humanities-gymnasium-cyril-methodius,Хуманитарна гимназия „Св. св. Кирил и Методий“,Plovdiv,Plovdiv Province,gymnasium,public,,info-1690153@edu.mon.bg,Public humanities-focused gymnasium; confirm English intensity and outbound destinations.,2025-12-21
sch-bg-plovdiv-gikn-private-it-cs,Частна професионална гимназия по информатика и компютърни науки “Акад. Благовест Сендов”,Plovdiv,Plovdiv Province,vocational,private,,office@gikn.eu,Vocational track; confirm English readiness and visit policy.,2025-12-21
sch-bg-plovdiv-stoyanstroi-stoyan-sariev,Частна профилирана гимназия с чуждоезиково обучение „Стоянстрой“ / „Стоян Сариев“,Plovdiv,Plovdiv Province,gymnasium,private,,info@sarievschools.eu,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-plovdiv-classic-private-school,Частна профилирана гимназия „Класик“ / British International School Classic,Plovdiv,Plovdiv Province,secondary,private,,classic@classicschool.org,Private secondary; verify counseling contacts and outbound intent.,2025-12-21
sch-bg-plovdiv-talantite-private-business-school,Частно средно бизнес училище „Талантите“,Plovdiv,Plovdiv Province,secondary,private,,chsbu@talantite.org,Private secondary; verify counseling contacts and outbound intent.,2025-12-21
sch-bg-plovdiv-druzhba-private-school,Частно средно училище „Дружба“,Plovdiv,Plovdiv Province,secondary,private,,info@drujbaplovdiv.bg,Private secondary; verify counseling contacts and outbound intent.,2025-12-21
sch-bg-ruse-ruse-leonardo-da-vinci,Първо частно средно училище „Леонардо да Винчи“,Ruse,Ruse Province,secondary,private,,info-1806213@edu.mon.bg,Private secondary; verify counseling contacts and outbound intent.,2025-12-21
sch-bg-ruse-ruse-souee-european-languages,СУ за европейски езици „Св. Константин-Кирил Философ“,Ruse,Ruse Province,gymnasium,public,,info-1806203@edu.mon.bg,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-sofia-9th-french-language-school-9feg,9-та френска езикова гимназия „Алфонс дьо Ламартин“,Sofia,Sofia City,gymnasium,public,,,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-sofia-91st-german-language-school-91neg,91-ва Немска езикова гимназия „Проф. Константин Гълъбов“,Sofia,Sofia City,gymnasium,public,,,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-sofia-american-college-of-sofia,American College of Sofia,Sofia,Sofia City,international,private,,collegecounseling@acsbg.org,International school; emphasize IB/English-taught pathways.,2025-12-21
sch-bg-sofia-american-english-academy,American English Academy,Sofia,Sofia City,international,private,,office@aeasofia.com,International school; emphasize IB/English-taught pathways.,2025-12-21
sch-bg-sofia-american-school-of-bulgaria,American School of Bulgaria (to verify official registration name),Sofia,Sofia City,international,private,,,International school; emphasize IB/English-taught pathways.,2025-12-21
sch-bg-sofia-british-school-of-sofia,British School of Sofia,Sofia,Sofia City,international,private,,office@bssofia.bg,International school; emphasize IB/English-taught pathways.,2025-12-21
sch-bg-sofia-cosmos-international-school-sofia,Cosmos International School,Sofia,Sofia City,international,private,,,International school; emphasize IB/English-taught pathways.,2025-12-21
sch-bg-sofia-deutsche-schule-sofia,Deutsche Schule Sofia,Sofia,Sofia City,international,other,,,International school; emphasize IB/English-taught pathways.,2025-12-21
sch-bg-sofia-first-english-language-school-1aeg,First English Language School (Първа английска езикова гимназия),Sofia,Sofia City,gymnasium,public,,office@fels-sofia.org,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-sofia-international-ib-montessori-school-sofia,International IB Montessori School,Sofia,Sofia City,international,private,,,International school; emphasize IB/English-taught pathways.,2025-12-21
sch-bg-sofia-international-school-uwekind,International School Uwekind,Sofia,Sofia City,international,private,,info@uwekind.bg,International school; emphasize IB/English-taught pathways.,2025-12-21
sch-bg-sofia-national-high-school-of-math-natural-sciences-npmg,"National High School of Mathematics and Natural Sciences ""Acad. Lyubomir Chakalov""",Sofia,Sofia City,gymnasium,public,,,Selective STEM/math gymnasium; target medicine/CS leads.,2025-12-21
sch-bg-sofia-sofia-mathematical-gymnasium-smg,Sofia Mathematical Gymnasium “Paisiy Hilendarski”,Sofia,Sofia City,gymnasium,public,,info@smg.bg,Selective STEM/math gymnasium; target medicine/CS leads.,2025-12-21
sch-bg-sofia-st-george-international-school-sofia,St. George International School & Preschool,Sofia,Sofia City,international,private,,admission@stgeorgeschool.eu,International school; emphasize IB/English-taught pathways.,2025-12-21
sch-bg-sofia-anglo-american-school-of-sofia,The Anglo-American School of Sofia,Sofia,Sofia City,international,foundation,,frontdesk@aas-sofia.org,International school; emphasize IB/English-taught pathways.,2025-12-21
sch-bg-sofia-zlatarski-international-school-of-sofia,Zlatarski International School of Sofia,Sofia,Sofia City,international,private,,info@zlatarskischool.org,International school; emphasize IB/English-taught pathways.,2025-12-21
sch-bg-stara-zagora-stara-zagora-gpce-romain-rolland,Гимназия с преподаване на чужди езици (ГПЧЕ) „Ромен Ролан“,Stara Zagora,Stara Zagora Province,gymnasium,public,,info-2403264@edu.mon.bg,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-stara-zagora-stara-zagora-ppmg-geo-milev,Профилирана природоматематическа гимназия „Гео Милев“,Stara Zagora,Stara Zagora Province,gymnasium,public,,info-2400102@edu.mon.bg,Selective STEM/math gymnasium; target medicine/CS leads.,2025-12-21
sch-bg-varna-third-pmg-metodiy-popov-3pmg,"III ПМГ ""Акад. Методий Попов"" – Варна",Varna,Varna Province,gymnasium,public,,school@pmg3-varna.org,Selective STEM/math gymnasium; target medicine/CS leads.,2025-12-21
sch-bg-varna-fourth-language-high-school-frederic-joliot-curie-4eg,IV Езикова гимназия „Фредерик Жолио-Кюри“ – Варна,Varna,Varna Province,gymnasium,public,,4egvarna@4egvarna.com,Selective STEM/math gymnasium; target medicine/CS leads.,2025-12-21
sch-bg-varna-varna-maritime-high-school-saint-nicholas,Варненска морска гимназия „Св. Николай Чудотворец“,Varna,Varna Province,vocational,public,,info-402183@edu.mon.bg,Vocational track; confirm English readiness and visit policy.,2025-12-21
sch-bg-varna-gpche-yoan-ekzarch-5eg,"Гимназия с преподаване на чужди езици ""Йоан Екзарх"" – Варна",Varna,Varna Province,gymnasium,public,,direktor@5eg.org,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-varna-math-gymnasium-petar-beron,"Математическа гимназия ""Д-р Петър Берон""",Varna,Varna Province,gymnasium,public,,,Selective STEM/math gymnasium; target medicine/CS leads.,2025-12-21
sch-bg-varna-pgit-ivan-bogorov,Професионална гимназия по икономика и технологии „Д-р Иван Богоров” – Варна,Varna,Varna Province,vocational,public,,pgibogorov@pgi-varna.com,Vocational track; confirm English readiness and visit policy.,2025-12-21
sch-bg-varna-pgkmks-akad-blagovest-sendov,"Професионална гимназия по компютърно моделиране и компютърни системи ""Акад. Благовест Сендов""",Varna,Varna Province,vocational,public,,office@itpg-varna.bg,Vocational track; confirm English readiness and visit policy.,2025-12-21
sch-bg-varna-pg-tourism-prof-assen-zlatarov,"Професионална гимназия по туризъм ""Проф. д-р Асен Златаров"" – Варна",Varna,Varna Province,vocational,public,,info-403534@edu.mon.bg,Vocational track; confirm English readiness and visit policy.,2025-12-21
sch-bg-varna-pghhvt-mendeleev-chem-food-tech,"Професионална гимназия по химични и хранително-вкусови технологии ""Д. И. Менделеев"" – Варна",Varna,Varna Province,vocational,public,,info-400058@edu.mon.bg,Vocational track; confirm English readiness and visit policy.,2025-12-21
sch-bg-varna-first-foreign-language-high-school-1eg,Първа езикова гимназия – Варна,Varna,Varna Province,gymnasium,public,,firstls@1eg.eu,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-varna-george-byron-private-language-school,"Частна езикова гимназия ""Джордж Байрон"" – Варна",Varna,Varna Province,gymnasium,private,,byron_school@abv.bg,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-varna-exupery-antoine-de-saint-exupery,"Частна профилирана гимназия ""Антоан дьо Сент-Екзюпери""",Varna,Varna Province,gymnasium,private,,office@exupery.org,Selective language gymnasium with outbound focus.,2025-12-21
sch-bg-veliko-tarnovo-veliko-tarnovo-pmg-vasil-drumev,Профилирана математическа гимназия „Васил Друмев“,Veliko Tarnovo,Veliko Tarnovo Province,gymnasium,public,,,Selective STEM/math gymnasium; target medicine/CS leads.,2025-12-21
