category,sub_category,period,amount_eur,assumptions,owner,notes,as_of
fairs_events,world_education_fair_spring_tour,2026-Q1,9500,"Belgrade Novi Sad Nis Kragujevac booths @ 2100 EUR average plus 1100 EUR freight and UTM setup",Recruitment Events,"Primary intake fair with 600 to 700 scans feeding travel plan",2025-12-22
fairs_events,world_education_fair_fall_tour,2026-Q3,9800,"Repeat four city tour @ 2200 EUR per stop plus 900 EUR collateral shipping",Recruitment Events,"Aligns with Sept Athens push and Oct Nicosia last call",2025-12-22
fairs_events,education_beyond_borders_spring,2026-Q2,2800,"Standard booth and seminar 2300 EUR plus 500 EUR lead capture upgrade",Recruitment Events,"Targets Belgrade IB and AP schools before exam leave",2025-12-22
fairs_events,education_beyond_borders_fall,2026-Q4,2900,"Booth 2400 EUR plus 500 EUR translator and AV",Recruitment Events,"Anchor event after WEF to re engage pipeline",2025-12-22
fairs_events,educationusa_fulbright_college_fair,2026-Q4,600,"No fee booth yet 600 EUR sponsor package for priority table and power",Recruitment Events,"Lets UNIC share ROI vs US options",2025-12-22
fairs_events,integral_virtual_fair_may,2026-Q2,1000,"Two day virtual booth 800 EUR plus 200 EUR staffing overtime",Recruitment Events,"Keeps awareness warm between physical tours",2025-12-22
fairs_events,integral_virtual_fair_nov,2026-Q4,1000,"Same virtual package timed to fall follow up",Recruitment Events,"Supports webinar retargeting sequence",2025-12-22
fairs_events,unify_study_abroad_roadshow_spring,2026-Q2,2400,"Belgrade and Nis stops @ 1200 EUR each including counselor breakfast",Recruitment Events,"Localizes Athens positioning for EU mobility seekers",2025-12-22
fairs_events,unify_study_abroad_roadshow_autumn,2026-Q4,2400,"Repeat two city package plus 400 EUR counselor incentives",Recruitment Events,"Post results push for CS and business prospects",2025-12-22
travel,wef_spring_school_visits,2026-Q1,4200,"Two reps from CY and GR: 350 EUR flights each plus 10 hotel nights @ 140 EUR plus 1500 EUR per diem and ground",Recruitment Ops,"Covers add on school visits tied to WEF",2025-12-22
travel,counselor_follow_up_loop,2026-Q2,3000,"Five city rail and car loop with 600 EUR per city for lodging and meals",Recruitment Ops,"Used after EBB and Unify to convert hot schools",2025-12-22
travel,wef_fall_school_visits,2026-Q3,4500,"Same routing as spring with 300 EUR inflation buffer and four extra nights for agent dinners",Recruitment Ops,"Matches WEF fall plus Athens open day invites",2025-12-22
travel,agent_enablement_workshops,2026-Q4,2000,"Two in person trainings Belgrade and Novi Sad x 1000 EUR venue catering and transport",Recruitment Ops,"Ensures agents can sell new scholarships",2025-12-22
collateral_printing,serbian_brochure_wave1,2026-Q1,2400,"3000 Serbian brochures @ 0.55 EUR plus 750 EUR shipping cushion",Marketing Ops,"Versioned for Nicosia vs Athens before Feb fairs",2025-12-22
collateral_printing,conversion_kits_wave2,2026-Q3,1800,"1500 offerholder kits (folders and lanyards) @ 0.9 EUR plus 450 EUR translation refresh",Marketing Ops,"Top up before Sept fairs and counselor mailers",2025-12-22
webinars_production,parent_student_webinars_H1,2026-Q2,1200,"Two bilingual webinars with producer 400 EUR each plus 400 EUR captioning",Marketing Ops,"Targets spring fair leads needing visa clarity",2025-12-22
webinars_production,offerholder_yield_webinars_H2,2026-Q4,1200,"Two themed webinars visa and housing plus 300 EUR studio rental and 300 EUR editing and 300 EUR paid reminders",Marketing Ops,"Raises RS to enroll conversion by 3 points",2025-12-22
contingency,media_and_event_buffer_H1,2026-Q2,6000,"Approximately eight percent reserve on H1 digital and events to cover CPC spikes or added forums",Finance Partner,"Release only if CPL moves above 12 EUR",2025-12-22
contingency,media_and_event_buffer_H2,2026-Q4,7000,"Approximately eight percent reserve on H2 budgets for inflation and late bookings",Finance Partner,"Requires VP Enrollment sign off with focus on medicine and CS pushes",2025-12-22
