school_id,name,city,region,area,priority_tier,evidence_level,day_boarding,curricula,international_pathway,fee_basis,fee_note,affordability_fit,program_fit_tags,notes_short,sources,last_verified
ng-lagos-aisl,American International School of Lagos (AISL),Lagos,Lagos State,Victoria Island,Tier1,medium,day,american;ib-dp,American HS diploma + IB DP (Grades 11-12); college counseling emphasis,USD,"USD 28,049 (G6-8) and USD 32,165 (G9-12) reported for 2025; mandatory charges extra",very-strong,medicine;business;cs-data-ai,Hard-currency tuition; day campus with dedicated college counselor; verify official fee sheet,report-20251220;https://www.aislagos.org/teaching-learning/high-school-beta;https://en.wikipedia.org/api/rest_v1/page/summary/American_International_School_of_Lagos,2025-12-21
ng-lagos-bis,"British International School, Lagos (BIS)",Lagos,Lagos State,Victoria Island-Oniru,Tier1,medium,day+boarding,british;cambridge-igcse;as-levels;a-levels,Cambridge IGCSE → AS/A-Level pipeline,USD,USD ~17k day / ~30k boarding (directory); verify 2025/26 schedule; USD pricing signals Tier1,very-strong,medicine;business;cs-data-ai,30-acre Victoria Island/Oniru campus; class size ≤20; boarders ~1/3; counselor contact pending,report-20251220;https://bisnigeria.org/about-us/;https://bisnigeria.org/calender-terms-dates/;https://bisnigeria.org/schoolday/;https://bisnigeria.org/university-progression/;https://bisnigeria.org/boarding/,2025-12-21
ng-lagos-charterhouse,Charterhouse Lagos,Lagos,Lagos State,Ajah,Tier1,high,day+boarding,british;cambridge-igcse;a-levels,British pathway; Cambridge IGCSE and A-Levels announced; Sixth Form build-out planned,NGN,"₦21,700,000–₦24,500,000 (Years 7–9) published for 2025–2026; boarding surcharge separate",very-strong,medicine;business;cs-data-ai,Tier1 NGN fees; new Ajah campus; confirm boarding levies and counselor contact Jan 2026,report-20251220;website-20251221,2025-12-21
ng-lagos-cis,Children’s International School (CIS),Lagos,Lagos State,Lekki Phase 1,Tier1,medium,day+boarding,british;cambridge-igcse;a-levels,Pearson Edexcel IGCSE + Chadsworth Sixth Form A-Level,on-request,Fees on request; historical ₦2m acceptance + ₦2.2m–₦3.2m tuition; boarding Year6–13,very-strong,medicine;business;cs-data-ai,COBIS/BSO inspected; selective entry; counselor contacts pending,report-20251220;https://www.cislagos.com/contact-us/;https://www.cislagos.com/sixth-form-college;https://neusroom.com/in-nigeria-an-ordinary-primary-school-charges-n25-5-million-per-child/,2025-12-23
ng-lagos-lekki-british,Lekki British School (High School),Lagos,Lagos State,Lekki Phase 1,Tier1,opaque,day+boarding,british;cambridge-igcse;a-levels,Cambridge IGCSE + A-Levels; subject grid published,on-request,Fees on request; Tier1 Lekki corridor with boarding; request 2025–2026 schedule,very-strong,medicine;business;cs-data-ai,25-acre Lekki Phase 1 campus; first British boarding school in Lagos; counselor/fees to verify,report-20251220;https://lekkibritishschool.org/contact-us/;https://lekkibritishschool.org/cambridge-a-level/;https://lekkibritishschool.org/about-lekki-british-school/,2025-12-21
ng-lagos-lycee-francais,Lycée Français Louis Pasteur,Lagos,Lagos State,Victoria Island Annex,Tier1,high,day,french-bac,French curriculum to Baccalaureate,EUR,"€8,854-€10,599 published for 2025-2026; euro-denominated; day school, levies TBD",strong,medicine;business;cs-data-ai,AEFE French Bac; strong Tier1 affordability; contacts/calendar to confirm; VI/Oniru catchment,report-20251220;https://lflp-lagos.com,2025-12-21
ng-lagos-rugby-school,Rugby School Nigeria,Lagos,Lagos State,Eko Atlantic,Tier1,medium,day+boarding,british;cambridge-igcse;a-levels,UK Sixth Form pathway; entry assessments running for Year 7 launch,GBP,GBP-denominated termly fees reported; boarding surcharges/levies TBD; assessment windows Apr–Jun 2025,very-strong,medicine;business;cs-data-ai,Ultra-premium Eko Atlantic launch; contacts via website form; verify fee sheet and accreditation,report-20251220;https://rugbyschoolnigeria.com;https://rugbyschoolnigeria.com/location/;https://rugbyschoolnigeria.com/year-7-11-entry-assessment-mornings/,2025-12-21
ng-lagos-atlantic-hall,Atlantic Hall School,Lagos,Lagos State,Epe,Tier2A,medium,day+boarding,nigerian;international-exams,Nigerian curriculum with international exam signaling,NGN,"₦6,000,000-₦6,700,000 annual range reported",strong,general;medicine,Boarding model; confirm current levies,report-20251220,2025-12-21
ng-lagos-caleb-british,Caleb British International School,Lagos,Lagos State,Lekki-Abijo,Tier2A,opaque,day+boarding,british;cambridge-igcse;sat,IGCSE and SAT signals,on-request,Fees on request,strong,medicine;business,Premium coastal corridor; confirm boarding surcharge,report-20251220,2025-12-21
ng-lagos-dowen,Dowen College,Lagos,Lagos State,Lekki,Tier2A,opaque,day+boarding,nigerian;international-exams,Premium Lagos brand with international exam orientation,on-request,Fees on request,strong,general;medicine,Verify current day vs boarding schedule,report-20251220,2025-12-21
ng-lagos-emerald,Emerald Schools,Lagos,Lagos State,Lagos,Tier2A,opaque,day,british;cambridge-igcse,International pathway signals,on-request,Fees on request,strong,general;business,Validate secondary fee band,report-20251220,2025-12-21
ng-lagos-grange,Grange School,Lagos,Lagos State,Ikeja GRA,Tier2A,opaque,day,british;cambridge-igcse,Premium British pathway,not-published,Fees not reliably public,strong,business;cs-data-ai,High brand recognition; confirm latest fees,report-20251220,2025-12-21
ng-lagos-greensprings-ibdp,Greensprings School (Lekki campus IB DP year),Lagos,Lagos State,Lekki,Tier2A,medium,day+boarding,ib-dp,IB Diploma Programme at Lekki campus,NGN,"~₦8,500,000 total for IB year; boarding separate",strong,medicine;cs-data-ai,Use IB year for counselor outreach; confirm boarding surcharge,report-20251220,2025-12-21
ng-lagos-grenville,Grenville Schools,Lagos,Lagos State,Ikeja GRA,Tier2A,opaque,day+boarding,british;cambridge-igcse,British-curriculum positioning,on-request,Fees on request,strong,business;cs-data-ai,Premium area; confirm fee schedule,report-20251220,2025-12-21
ng-lagos-lpss,Lagos Preparatory & Secondary School (LPSS),Lagos,Lagos State,Ikoyi,Tier2A,medium,day,british;cambridge-igcse,British pathway with IGCSE cost line,NGN,"₦6,000,000-₦9,000,000 annual range (2024-2025 circulated)",strong,business;cs-data-ai,Verify latest fee table and returning vs new student pricing,report-20251220,2025-12-21
ng-lagos-meadow-hall,Meadow Hall (College section),Lagos,Lagos State,Lekki,Tier2A,opaque,day,british;cambridge-igcse,International exam results published,on-request,Fees on request,strong,business;cs-data-ai,Affluent Lekki catchment; validate fees,report-20251220,2025-12-21
ng-lagos-oxbridge,Oxbridge Tutorial College,Lagos,Lagos State,Lagos,Tier2A,opaque,day,a-levels;sixth-form,Sixth Form / university prep focus,not-published,Fees not public; verify directly,strong,medicine;business;cs-data-ai,Direct feeder potential; need current pricing,report-20251220,2025-12-21
ng-lagos-rainbow-college-day,Rainbow College (day campuses),Lagos,Lagos State,Surulere-Ikota,Tier2A,opaque,day,nigerian;british-blend,Elite Nigerian private brand,on-request,Fees on request,strong,general;medicine,Confirm day-campus fee band and international pathway,report-20251220,2025-12-21
ng-lagos-temple,Temple School (Secondary/College),Lagos,Lagos State,Ikeja corridor,Tier2A,opaque,day,british;cambridge-igcse,British pathway with IGCSE positioning,on-request,Fees on request,strong,general;business;cs-data-ai,Premium mainland brand; validate fee band,report-20251220,2025-12-21
ng-lagos-vivian-fowler,Vivian Fowler Memorial College for Girls,Lagos,Lagos State,Ikeja-Oregun,Tier2A,opaque,unknown,british;cambridge-igcse,Elite girls’ secondary positioning,not-published,Fees reported inconsistently; treat as opaque,strong,general;medicine,Validate boarding status and fee band,report-20251220,2025-12-21
ng-mkpatak-topfaith,Topfaith International Secondary School,Mkpatak,Akwa Ibom State,Mkpatak,Tier2B,high,boarding,cambridge-igcse,Boarding with published term-by-term fees,NGN,Published termly fees with international exam pathway,strong,business;medicine,Useful affluent cohort outside major metros,report-20251220,2025-12-21
ng-nnewi-st-mikels,St Mikel’s International Schools,Nnewi,Anambra State,Nnewi,Tier3-proxy,medium,day+boarding,british,British-Nigerian international positioning,NGN,"₦501,000-₦750,000 per term (est ₦1.503m-₂.25m/year)",moderate,general;business,Validate international leaving qualification pathway,report-20251220,2025-12-21
ng-oko-taico,Thomas Adewumi International College (TAICO),Oko,Kwara State,Oko,Tier3-proxy,proxy,boarding,british;international,Elite boarding with international exam positioning,not-published,Fees not reliably published; validate directly,validate,general;business,Confirm pricing and pathway strength,report-20251220,2025-12-21
ng-onitsha-grundtvig,Grundtvig International Secondary School,Onitsha,Anambra State,Oba,Tier2B,medium,boarding,cambridge-igcse,Cambridge/IGCSE pathway,NGN,"₦751,000-₦1,000,000 per term (est ₦2.253m-₃m/year)",strong,general;medicine,High regional priority; confirm what fees include,report-20251220,2025-12-21
ng-ph-charles-dale,Charles Dale Memorial International School,Port Harcourt,Rivers State,Igwuruta,Tier2A,medium,boarding,international;cambridge-igcse,International curriculum blend with overseas testing,NGN,"Up to ₦1,550,000 per term (~₦4.65m annual) reported",strong,medicine;business,Full boarding; verify invoice-level totals,report-20251220,2025-12-21
ng-ph-graceland,Graceland International School,Port Harcourt,Rivers State,Elekahia-New GRA,Tier2A,opaque,day+boarding,cambridge-igcse,IGCSE and SAT signals,not-published,Fees not published,strong,business;cs-data-ai,Validate fees and cohort size,report-20251220,2025-12-21
ng-ph-royalcourt,Royalcourt Private School,Port Harcourt,Rivers State,Rumuekini,Tier2A,medium,boarding,premium,Premium private school positioning,NGN,"₦1,000,000+ per term reported",strong,medicine;business,Validate premium fee band for secondary,report-20251220,2025-12-21
ng-ph-crestbridge,Crestbridge International School (College section),Port Harcourt,Rivers State,GRA Phase 4,Tier2B,medium,day,international,International-school positioning,NGN,"₦400,000-₦700,000 per term reported",moderate,general;business,Confirm secondary structure and fees,report-20251220,2025-12-21
ng-ph-greenoak,Greenoak International School (Secondary),Port Harcourt,Rivers State,GRA Phase 3,Tier2B,medium,day+boarding,international,International school positioning,NGN,"₦300,000-₦650,000 per term reported",moderate,general;business,Target for screening and counselor engagement,report-20251220,2025-12-21
ng-ph-jephthah,Jephthah Comprehensive Secondary School,Port Harcourt,Rivers State,East-West Road corridor,Tier2B,medium,day+boarding,cambridge-igcse;us-tests,Cambridge plus SAT/ACT/PSAT integration,NGN,"₦350,000-₦600,000 per term reported",moderate,cs-data-ai;business,High pathway strength; confirm fee band,report-20251220,2025-12-21
ng-ph-norwegian,Norwegian International School (NIS) Port Harcourt,Port Harcourt,Rivers State,GRA Phase 3,Tier2B,medium,day+boarding,cambridge-igcse;a-levels,Cambridge pathway through sixth form,NGN,"₦300,000-₦1,000,000 per term reported",moderate,general;business,Fee band varies by source; validate directly,report-20251220,2025-12-21
ng-ph-st-maria-goretti,St Maria Goretti’s School,Port Harcourt,Rivers State,East-West Road,Tier3-proxy,opaque,unknown,cambridge-igcse,Secondary with IGCSE option,not-published,Fees not published; treat as validation target,validate,general;business,Confirm tuition and international cohort presence,report-20251220,2025-12-21
ng-ph-starlets,Starlets Academy,Port Harcourt,Rivers State,Port Harcourt,Tier3-proxy,opaque,boarding,international-exams,International exam claims in directories,not-published,Fees not published; boarding claimed,validate,general;business,Validate claims and fee band before prioritizing,report-20251220,2025-12-21
