school_id,name_local,name_en,city,region,school_type,curricula,languages_of_instruction,priority_tier,program_fit_tags,recommended_outreach_formats,visit_window_notes,website_url,contact_email,contact_phone,counselor_email,tuition_band_jod,tuition_band_usd,evidence_tag,notes_short,sources,last_verified
jordan-ans-amman,Amman National School,Amman National School (ANS),Amman,Amman,international,IB DP,English;Arabic,Tier 2,general-programs;medicine-screen,counselor-1-1;student-assembly,Confirm IB calendar and counselor contacts,,,,,9070-9280 (DP),12900 approx,A,Mid-premium IB DP; Medicine case-by-case,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md,2025-12-20
jordan-ais-amman,American International School Amman,American International School (AIS) Amman,Amman,Amman,international,IB DP,English;Arabic,Tier 2,general-programs;medicine-screen,counselor-1-1;virtual-briefing,Confirm IB calendar; note lower fee band,,,,,7500-8500 (G11-12),10580-11990 approx,A,International pathway; stronger for general programs;counselor intro needed,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md,2025-12-20
jordan-lfia-amman,Lycée Français International d’Amman,Lycée Français International d’Amman (LFiA),Amman,Amman,international,French Bac,French;Arabic;English,Tier 2,general-programs;medicine-screen,counselor-1-1;parent-session,Confirm Bac calendar; consider French-language assets,,,,,7532 (Lycée),10620 approx,A,French Bac pipeline; Medicine requires screening,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md,2025-12-20
jordan-mashrek-amman,Mashrek International School,Mashrek International School,Amman,Amman,international,IB DP,English;Arabic,Tier 2,general-programs;medicine-screen,counselor-1-1;virtual-briefing,Fees not public; request schedule and visit policy,,,,,Not published,,C,IB DP confirmed; add once fees verified,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md,2025-12-20
jordan-ahliyyah-mutran-amman,Ahliyyah & Mutran School,Ahliyyah & Mutran School (AMS),Amman,Amman,international,IB DP,English;Arabic,Tier 2,general-programs;medicine-screen,counselor-1-1;virtual-briefing,Fees not public; request schedule and IB contacts,,,,,Not published,,C,IB DP confirmed; verification needed,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md,2025-12-20
jordan-british-international-academy-amman,British International Academy Amman,British International Academy (Amman),Amman,Amman,international,IB DP,English;Arabic,Tier 2,general-programs;medicine-screen,counselor-1-1;virtual-briefing,Fees not public; request schedule,,,,,Not published,,C,IB DP confirmed; verification needed,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md,2025-12-20
jordan-cambridge-high-school-amman,Cambridge High School Amman,Cambridge High School (Amman),Amman,Amman,international,Upper secondary;A-Level ref.,English;Arabic,Tier 2,general-programs;medicine-screen,counselor-1-1;virtual-briefing,Fees not public; request schedule and Sixth Form subjects,,,,,Not published,,C,Upper secondary confirmed; fee table missing,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md,2025-12-20
jordan-sands-national-academy-amman,Sands National Academy,Sands National Academy,Amman,Amman,international,IGCSE;US diploma;SAT/ACT/AP,English;Arabic,Tier 2,general-programs;medicine-screen,counselor-1-1;virtual-briefing,Fees not public; request schedule and AP/SAT usage,,,,,Not published,,C,Premium positioning; confirm fees and AP subjects,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md,2025-12-20
jordan-oxford-schools-amman,Oxford Schools (International Section),Oxford Schools (International Section),Amman,Amman,international,International section (IGCSE/upper secondary),English;Arabic,Borderline,general-programs;scholarship-screen,student-assembly;virtual-briefing,Lower fee band; use for general pipelines not Medicine,,,,,5205 (G11); 5670 (G12),7340-8000 approx,A,Borderline international section; good for volume pilots,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md,2025-12-20
jordan-bridges-academy-irbid,Bridges Academy School Irbid,Bridges Academy School (Irbid),Irbid,Irbid,international,IGCSE;International A-Levels,English;Arabic,Borderline,general-programs;scholarship-screen,virtual-briefing;agent-partner,Bundle with Irbid trips; smaller pool,,,,,2885 (G11 IAL); 3025 (G12 IAL),4070-4270 approx,A,International A-Level pathway; affordability lower,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md,2025-12-20
jordan-aqaba-international-school,Aqaba International School,Aqaba International School,Aqaba,Aqaba,international,IGCSE;A-Levels,English;Arabic,Borderline,general-programs;scholarship-screen,virtual-briefing;event-piggyback,Opportunistic coastal stop; confirm fees and active A-Level streams,,,,,Not published,,C,International positioning; volume likely small,countries/jordan/reports/20251220-Jordan Premium High-School Feeders.md,2025-12-20
